stationTime,Temperatura_rio_mapa,Temperatura_totui
2023-06-01 07:35:00,26.91,20.18
2023-06-01 07:40:00,26.91,20.29
2023-06-01 07:45:00,26.97,20.29
2023-06-01 07:50:00,26.86,20.24
2023-06-01 07:55:00,26.91,20.24
2023-06-01 08:00:00,27.12,20.34
2023-06-01 08:05:00,27.23,20.45
2023-06-01 08:10:00,27.18,20.5
2023-06-01 08:15:00,27.28,20.56
2023-06-01 08:20:00,27.28,20.66
2023-06-01 08:25:00,27.33,20.72
2023-06-01 08:35:00,27.44,20.93
2023-06-01 11:20:00,31.75,24.12
2023-06-01 11:35:00,32.17,24.23
2023-06-01 11:50:00,32.01,24.28
2023-06-01 11:55:00,32.06,24.44
2023-06-01 12:00:00,31.85,24.55
2023-06-01 12:15:00,32.06,24.92
2023-06-01 12:30:00,31.38,25.13
2023-06-01 12:35:00,31.22,25.08
2023-06-01 12:50:00,30.01,24.92
2023-06-01 12:55:00,29.7,24.55
2023-06-01 13:00:00,29.44,24.23
2023-06-01 13:05:00,29.28,24.02
2023-06-01 13:10:00,29.12,23.8
2023-06-01 13:20:00,28.81,23.54
2023-06-01 13:50:00,29.12,23.27
2023-06-01 14:05:00,30.38,23.0
2023-06-01 14:10:00,30.43,23.06
2023-06-01 14:15:00,30.28,23.16
2023-06-01 14:25:00,30.38,23.32
2023-06-01 14:30:00,30.49,23.32
2023-06-01 14:35:00,30.64,23.48
2023-06-01 15:05:00,31.59,24.02
2023-06-01 15:10:00,31.96,23.91
2023-06-01 15:15:00,31.91,24.07
2023-06-01 15:20:00,31.54,24.28
2023-06-01 15:25:00,31.38,24.39
2023-06-01 15:30:00,31.01,24.44
2023-06-01 15:35:00,30.8,24.18
2023-06-01 16:00:00,30.22,23.8
2023-06-01 16:15:00,29.91,23.75
2023-06-01 16:20:00,29.91,23.64
2023-06-01 16:25:00,29.86,23.7
2023-06-01 16:30:00,29.59,23.59
2023-06-01 16:45:00,28.81,23.06
2023-06-01 16:55:00,28.65,22.79
2023-06-01 17:00:00,28.54,22.74
2023-06-01 17:10:00,28.28,22.42
2023-06-01 17:20:00,28.12,21.99
2023-06-01 17:30:00,28.02,21.73
2023-06-01 17:35:00,27.86,21.78
2023-06-01 17:40:00,27.81,21.62
2023-06-01 17:45:00,27.65,21.46
2023-06-01 17:50:00,27.6,21.35
2023-06-01 17:55:00,27.54,21.3
2023-06-01 18:00:00,27.54,21.19
2023-06-01 18:05:00,27.44,20.98
2023-06-01 18:10:00,27.44,21.03
2023-06-01 18:20:00,27.44,21.03
2023-06-01 18:25:00,27.44,20.93
2023-06-01 18:35:00,27.44,20.93
2023-06-01 18:40:00,27.44,20.93
