stationTime,Temperatura_totui,Lluvia_totui,Temperatura_rio_mapa,Lluvia_rio_mapa,Temperatura_rio_monos,Lluvia_rio_monos,Temperatura_q_liboriana,Lluvia_q_liboriana
2023-07-18 16:10:00,30.78,0.0,37.9,0.0,24.2,0.0,28.2,0.0
2023-07-18 16:15:00,31.04,0.0,37.63,0.0,25.5,0.0,28.1,0.0
2023-07-18 16:20:00,31.36,0.0,37.63,0.0,25.7,0.0,27.5,0.0
2023-07-18 16:25:00,31.31,0.0,37.63,0.0,25.4,0.0,26.3,0.0
2023-07-18 16:30:00,31.47,0.0,37.48,0.0,24.8,0.0,26.4,0.0
2023-07-18 16:35:00,31.1,0.0,37.21,0.0,23.5,0.0,26.3,0.0
2023-07-18 16:40:00,30.99,0.0,37.16,0.0,22.7,0.0,25.6,0.0
2023-07-18 16:45:00,30.35,0.0,37.27,0.0,22.2,0.0,25.3,0.0
2023-07-18 16:50:00,29.77,0.0,37.27,0.0,22.1,0.0,25.0,0.0
2023-07-18 16:55:00,29.29,0.0,37.21,0.0,22.1,0.0,24.7,0.0
2023-07-18 17:00:00,28.86,0.0,36.95,0.0,21.9,0.0,24.2,0.0
2023-07-18 17:05:00,28.59,0.0,36.74,0.0,21.8,0.0,23.9,0.0
2023-07-18 17:10:00,28.44,0.0,36.48,0.0,21.6,0.0,23.4,0.0
2023-07-18 17:15:00,28.17,0.0,36.27,0.0,21.3,0.0,22.9,0.0
2023-07-18 17:20:00,27.8,0.0,35.95,0.0,21.2,0.0,22.6,0.0
2023-07-18 17:25:00,27.69,0.0,35.69,0.0,21.1,0.0,22.4,0.0
2023-07-18 17:30:00,27.32,0.0,35.32,0.0,21.0,0.0,22.3,0.0
2023-07-18 17:35:00,27.21,0.0,35.01,0.0,20.8,0.0,22.1,0.0
2023-07-19 07:00:00,16.3,0.0,25.44,0.0,15.9,0.0,14.9,0.0
2023-07-19 07:05:00,16.4,0.0,25.76,0.0,15.9,0.0,15.1,0.0
2023-07-19 07:30:00,16.94,0.0,27.6,0.0,16.7,0.0,16.1,0.0
2023-07-19 07:35:00,16.99,0.0,27.44,0.0,17.1,0.0,16.2,0.0
2023-07-19 07:40:00,17.31,0.0,28.17,0.0,17.5,0.0,16.6,0.0
2023-07-19 07:45:00,17.41,0.0,28.54,0.0,17.9,0.0,16.7,0.0
2023-07-19 07:50:00,17.73,0.0,28.54,0.0,18.3,0.0,17.1,0.0
2023-07-19 08:00:00,18.16,0.0,28.23,0.0,19.4,0.0,17.5,0.0
2023-07-19 08:05:00,18.27,0.0,28.07,0.0,20.0,0.0,18.4,0.0
2023-07-19 08:10:00,18.43,0.0,28.07,0.0,20.4,0.0,19.3,0.0
2023-07-19 08:15:00,18.8,0.0,28.28,0.0,20.9,0.0,19.9,0.0
2023-07-19 08:20:00,19.17,0.0,28.86,0.0,21.3,0.0,20.9,0.0
2023-07-19 08:25:00,19.54,0.0,29.44,0.0,21.3,0.0,22.1,0.0
2023-07-19 08:30:00,19.76,0.0,29.91,0.0,21.9,0.0,23.5,0.0
2023-07-19 08:35:00,20.29,0.0,30.22,0.0,22.7,0.0,24.7,0.0
2023-07-19 08:40:00,20.66,0.0,29.8,0.0,23.4,0.0,26.3,0.0
2023-07-19 08:45:00,21.19,0.0,29.86,0.0,23.0,0.0,27.5,0.0
2023-07-19 08:50:00,21.51,0.0,30.64,0.0,23.5,0.0,28.8,0.0
2023-07-19 08:55:00,21.89,0.0,30.85,0.0,23.7,0.0,29.4,0.0
2023-07-19 09:00:00,22.31,0.0,31.01,0.0,23.6,0.0,29.7,0.0
2023-07-19 09:05:00,22.74,0.0,31.01,0.0,24.1,0.0,28.4,0.0
2023-07-19 09:10:00,23.06,0.0,31.54,0.0,24.8,0.0,26.6,0.0
2023-07-19 09:15:00,23.8,0.0,32.01,0.0,24.6,0.0,26.3,0.0
